uid,he_score,he_class,pdl1_score,pdl1_class
BLOCK_2|E5,0.47,0,0.51,1
BLOCK_2|B5,0.45,0,0.47,0
BLOCK_2|G7,0.49,0,0.48,0
BLOCK_4|A7,0.54,1,0.52,1
BLOCK_3|G4,0.45,0,0.5,1
BLOCK_3|E6,0.55,1,0.42,0
BLOCK_5|G5,0.55,1,0.44,0
BLOCK_4|H3,0.48,0,0.45,0
BLOCK_2|B6,0.46,0,0.45,0
BLOCK_1|L2,0.49,0,0.51,1
BLOCK_2|H2,0.4,0,0.49,0
BLOCK_2|E8,0.58,1,0.44,0
BLOCK_3|B9,0.46,0,0.49,0
BLOCK_3|G10,0.53,1,0.52,1
BLOCK_1|L4,0.41,0,0.52,1
BLOCK_3|C1,0.46,0,0.45,0
BLOCK_4|F6,0.51,1,0.46,0
BLOCK_1|A3,0.37,0,0.48,0
BLOCK_3|E3,0.47,0,0.52,1
BLOCK_5|K7,0.54,1,0.49,0
BLOCK_2|K7,0.55,1,0.51,1
BLOCK_3|I7,0.4,0,0.43,0
BLOCK_2|A4,0.54,1,0.54,1
BLOCK_5|D9,0.46,0,0.47,0
BLOCK_2|A2,0.42,0,0.46,0
BLOCK_1|G8,0.52,1,0.47,0
BLOCK_5|G6,0.62,1,0.49,0
BLOCK_5|D1,0.52,1,0.5,1
BLOCK_1|E4,0.51,1,0.42,0
BLOCK_2|B3,0.53,1,0.52,1
BLOCK_5|B4,0.51,1,0.55,1
BLOCK_1|L7,0.22,0,0.22,0
BLOCK_4|G6,0.47,0,0.5,1
BLOCK_1|F9,0.43,0,0.48,0
BLOCK_5|L10,0.46,0,0.45,0
BLOCK_5|J9,0.69,1,0.57,1
BLOCK_3|D1,0.49,0,0.46,0
BLOCK_1|K4,0.44,0,0.46,0
BLOCK_2|L7,0.61,1,0.5,1
BLOCK_1|H8,0.38,0,0.51,1
BLOCK_4|J4,0.48,0,0.53,1
BLOCK_2|D1,0.43,0,0.45,0
BLOCK_2|D8,0.43,0,0.46,0
BLOCK_2|C7,0.48,0,0.48,0
BLOCK_2|I2,0.41,0,0.5,1
BLOCK_5|F8,0.59,1,0.51,1
BLOCK_2|C6,0.48,0,0.49,0
BLOCK_3|L3,0.58,1,0.5,1
BLOCK_5|I8,0.51,1,0.44,0
BLOCK_5|H6,0.6,1,0.58,1
BLOCK_5|C2,0.5,1,0.52,1
BLOCK_1|A2,0.45,0,0.49,0
BLOCK_4|E7,0.52,1,0.52,1
BLOCK_1|K3,0.44,0,0.49,0
BLOCK_2|D7,0.5,1,0.48,0
BLOCK_5|D2,0.54,1,0.48,0
BLOCK_1|H2,0.47,0,0.43,0
BLOCK_2|C1,0.43,0,0.46,0
BLOCK_2|B7,0.37,0,0.42,0
BLOCK_1|F3,0.39,0,0.47,0
BLOCK_5|L2,0.37,0,0.45,0
BLOCK_3|A7,0.47,0,0.43,0
BLOCK_2|L2,0.4,0,0.46,0
BLOCK_4|H6,0.45,0,0.43,0
BLOCK_2|A8,0.46,0,0.48,0
BLOCK_5|A6,0.59,1,0.56,1
BLOCK_3|F2,0.45,0,0.54,1
BLOCK_1|A9,0.61,1,0.51,1
BLOCK_1|L3,0.37,0,0.49,0
BLOCK_1|B7,0.43,0,0.43,0
BLOCK_5|E5,0.57,1,0.56,1
BLOCK_2|H4,0.47,0,0.54,1
BLOCK_3|F5,0.58,1,0.5,1
BLOCK_2|J6,0.63,1,0.51,1
BLOCK_4|F3,0.55,1,0.47,0
BLOCK_4|J7,0.46,0,0.47,0
BLOCK_1|H5,0.29,0,0.41,0
BLOCK_3|G6,0.54,1,0.52,1
BLOCK_3|E4,0.48,0,0.52,1
BLOCK_1|B4,0.49,0,0.52,1
BLOCK_2|A3,0.38,0,0.42,0
BLOCK_3|J10,0.62,1,0.5,1
BLOCK_2|E2,0.41,0,0.47,0
BLOCK_2|G3,0.59,1,0.42,0
BLOCK_3|I2,0.49,0,0.49,0
BLOCK_4|C7,0.52,1,0.52,1
BLOCK_4|F2,0.61,1,0.48,0
BLOCK_2|F4,0.5,1,0.44,0
BLOCK_4|E4,0.41,0,0.49,0
BLOCK_3|J3,0.4,0,0.48,0
BLOCK_5|K4,0.53,1,0.47,0
BLOCK_1|G6,0.39,0,0.39,0
BLOCK_1|G2,0.55,1,0.43,0
BLOCK_5|L7,0.57,1,0.55,1
BLOCK_3|J8,0.51,1,0.44,0
BLOCK_4|A2,0.43,0,0.34,0
BLOCK_1|H6,0.36,0,0.49,0
BLOCK_1|G5,0.57,1,0.52,1
BLOCK_3|H6,0.58,1,0.51,1
BLOCK_5|E3,0.56,1,0.51,1
BLOCK_3|H9,0.49,0,0.44,0
BLOCK_1|K7,0.13,0,0.41,0
BLOCK_2|A7,0.35,0,0.48,0
BLOCK_5|K2,0.55,1,0.52,1
BLOCK_3|I5,0.35,0,0.28,0
BLOCK_3|L10,0.42,0,0.4,0
BLOCK_3|D9,0.45,0,0.42,0
BLOCK_3|E10,0.5,1,0.45,0
BLOCK_5|C9,0.61,1,0.5,1
BLOCK_5|B5,0.65,1,0.47,0
BLOCK_1|A1,0.38,0,0.47,0
BLOCK_5|J3,0.44,0,0.48,0
BLOCK_5|C1,0.52,1,0.53,1
BLOCK_1|E7,0.37,0,0.45,0
BLOCK_3|B4,0.44,0,0.52,1
BLOCK_3|G9,0.53,1,0.5,1
BLOCK_2|B2,0.5,1,0.5,1
BLOCK_3|K3,0.61,1,0.48,0
BLOCK_1|J7,0.47,0,0.49,0
BLOCK_3|J4,0.48,0,0.48,0
BLOCK_4|H5,0.45,0,0.45,0
BLOCK_3|G2,0.58,1,0.54,1
BLOCK_5|K1,0.5,1,0.47,0
BLOCK_5|E7,0.4,0,0.46,0
BLOCK_2|I8,0.46,0,0.46,0
BLOCK_5|J5,0.43,0,0.47,0
BLOCK_4|B7,0.52,1,0.52,1
BLOCK_4|L3,0.5,1,0.55,1
BLOCK_2|G2,0.38,0,0.45,0
BLOCK_1|D7,0.39,0,0.48,0
BLOCK_5|C5,0.5,1,0.45,0
BLOCK_2|E3,0.45,0,0.48,0
BLOCK_1|C4,0.42,0,0.48,0
BLOCK_4|G5,0.53,1,0.48,0
BLOCK_3|C4,0.44,0,0.37,0
BLOCK_2|C3,0.39,0,0.47,0
BLOCK_1|H9,0.55,1,0.48,0
BLOCK_3|E8,0.52,1,0.49,0
BLOCK_4|K7,0.5,1,0.4,0
BLOCK_2|L4,0.41,0,0.49,0
BLOCK_4|G3,0.52,1,0.43,0
BLOCK_3|G5,0.46,0,0.44,0
BLOCK_1|A6,0.43,0,0.51,1
BLOCK_4|I2,0.51,1,0.47,0
BLOCK_4|K3,0.56,1,0.51,1
BLOCK_2|J4,0.33,0,0.46,0
BLOCK_3|A6,0.48,0,0.43,0
BLOCK_3|K8,0.57,1,0.5,1
BLOCK_5|J1,0.45,0,0.44,0
BLOCK_3|H10,0.53,1,0.58,1
BLOCK_5|A7,0.51,1,0.45,0
BLOCK_2|D3,0.45,0,0.48,0
BLOCK_1|F5,0.52,1,0.52,1
BLOCK_3|F9,0.34,0,0.4,0
BLOCK_2|G8,0.47,0,0.51,1
BLOCK_1|J10,0.56,1,0.43,0
BLOCK_3|H2,0.57,1,0.45,0
BLOCK_3|K10,0.17,0,0.38,0
BLOCK_2|E7,0.37,0,0.48,0
BLOCK_3|E9,0.5,1,0.44,0
BLOCK_2|B1,0.33,0,0.46,0
BLOCK_3|H5,0.4,0,0.48,0
BLOCK_5|A1,0.46,0,0.51,1
BLOCK_2|E6,0.57,1,0.5,1
BLOCK_2|L3,0.42,0,0.46,0
BLOCK_5|J2,0.58,1,0.62,1
BLOCK_3|I9,0.49,0,0.46,0
BLOCK_1|G9,0.51,1,0.47,0
BLOCK_1|I6,0.35,0,0.39,0
BLOCK_1|F2,0.38,0,0.3,0
BLOCK_4|L4,0.44,0,0.48,0
BLOCK_2|K3,0.57,1,0.52,1
BLOCK_1|F6,0.39,0,0.47,0
BLOCK_4|A3,0.39,0,0.32,0
BLOCK_3|F6,0.47,0,0.5,1
BLOCK_1|K10,0.42,0,0.47,0
BLOCK_1|J4,0.58,1,0.52,1
BLOCK_3|E1,0.52,1,0.45,0
BLOCK_3|I6,0.49,0,0.42,0
BLOCK_3|A2,0.52,1,0.47,0
BLOCK_1|G3,0.41,0,0.45,0
